name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Congaree NP,0,0,0,0,0,0,55,92,382,322,274,181,167,330,260,455,293,195,312,249,288,631,454,439,212,477,490,686,795,"1,084",861,"1,174","1,176",867,579,460,387
Great Basin NP,0,0,0,0,0,0,0,0,"16,438","21,639","20,178","19,188","15,710","22,126","21,994","12,518","15,028","15,948","15,484","11,720","14,555","12,653","14,073","13,810","12,943","10,185","11,893","10,821","11,780","8,647","9,817","11,716","11,256","11,340","10,924","12,147","13,151"
Prince William Forest Park,"3,951","2,022","4,468","3,770","3,204","3,349","4,177","4,043","3,421","2,765","2,759","1,656","1,603","2,261","1,648","1,692","1,623","1,029",540,438,341,863,486,373,313,594,500,809,429,455,374,773,358,394,350,"1,537","1,296"
"John D. Rockefeller, Jr. MEM PKWY","3,623","3,549","3,138","3,703","2,940","5,087","2,653","2,619","3,280","2,505","3,815","1,764","4,083","5,618","2,255","2,211","2,324","2,113","1,986","1,911","2,011","2,219","2,524","2,626","2,751","1,818","3,467","3,227","2,524","3,078","2,558","2,677","1,253","2,986",48,"1,642",0
Grand Portage NM,386,465,319,313,221,267,294,239,191,187,106,159,116,74,109,142,272,89,92,70,145,83,103,179,46,66,67,154,99,125,60,210,149,200,32,48,57
Knife River Indian Villages NHS,0,0,0,0,8,135,0,221,137,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kobuk Valley NP,0,0,0,895,100,145,240,185,120,640,355,253,243,259,262,256,0,256,256,0,0,0,0,50,35,0,148,509,292,334,818,503,"4,896","8,400","5,925",0,0
Craters of the Moon NM,"9,177","10,504","10,973","10,168","10,696","9,926","8,210","9,292","15,026","14,796","14,665","16,890","9,024","8,432","8,779","8,199","9,907","9,058","8,452","7,938","8,517","6,277","5,841","6,591","6,150","6,440","6,600","6,228","6,425","5,885","7,475","7,895","6,832","6,479","6,729","7,714","9,483"
Catoctin Mountain Park,"4,593","4,699","4,074","3,049","2,827","2,583","2,516","2,330","2,367","1,910","2,050","1,906","1,852","1,687","2,779","2,214","2,129","2,047","1,601","1,911","1,656","1,807","1,146","1,493","1,626","1,571","1,300","1,263","1,039","1,174","1,099","1,006",723,498,348,784,900
Carlsbad Caverns NP,"1,570","1,245","1,437","1,534",923,252,256,159,91,351,122,147,161,164,165,273,319,303,393,922,257,140,157,162,160,155,137,95,93,86,114,170,107,151,176,146,135
Badlands NP,"3,496","12,170","15,756","10,359","8,901","11,122","9,915","11,244","10,993","9,599","12,308","12,292","4,576","18,999","18,860","17,963","17,000","14,949","12,479","11,534","15,619","14,869","11,279","10,766","11,153","12,149","8,751","8,284","16,506","7,949","12,232",783,464,350,"2,071","2,740",856
Colorado NM,"10,495","8,426","9,826","8,287","8,493","7,479","7,853","9,583","10,978","10,944","10,869","8,926","10,516","12,664","12,858","10,522","9,017","7,768","8,540","8,438","8,751","6,638","5,732","6,023","4,521","5,440","4,751","5,307","5,428","6,518","7,549","7,507","4,815","8,509","8,176","10,794","10,071"
Wind Cave NP,"4,750","4,624","4,908","4,805","5,292","5,349","4,863","5,127","4,374","3,738","3,947","4,149","3,507","4,911","4,727","4,290","3,054","1,254","1,316","4,666","4,594","4,221","3,155","3,190","3,652","3,450","2,518","2,289","2,748","2,248",905,"1,344","1,160","2,758","4,612","4,714","3,804"
