name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Channel Islands NP,"1,938","1,558",969,"2,173","1,333","1,913","1,831","1,891","1,596","1,786","1,805","1,739","1,437","2,330","1,672","1,553","5,258","6,165","9,287","11,314","9,459","10,227","10,326","13,338","15,318","17,086","19,174","17,692","17,801","16,949","20,197","37,071","22,831","19,785","20,032","23,068"
Saguaro NP,"3,622","3,881","3,144","2,799","2,714","2,301","1,834","1,796","1,549","1,822","1,247","1,129","1,516","1,523","1,593","1,501","1,539","1,573","1,592","1,839","1,594","1,560","1,683","1,424","1,208","2,203","1,447","1,552","1,295","1,599","1,599","1,568","2,033","1,545","1,610","1,377"
Blue Ridge PKWY,"71,698","87,504","82,929","77,044","61,703","59,392","56,259","62,446","59,848","63,320","53,409","55,094","62,436","56,945","73,277","59,400","61,402","59,474","64,829","73,304","62,606","54,540","53,770","63,411","52,688","51,124","37,450","48,245","57,734","52,040","57,910","56,907","51,623","56,903","41,908","49,070"
Cumberland Gap NHP,"4,604","4,738","4,928","6,083","4,593","3,502","3,104","4,330","3,520","3,974","3,791","3,979","2,840","3,509","4,251","4,184","4,549","3,288","4,558","4,085","3,788","3,676","3,185","3,397","3,814","4,093","4,045","4,261","4,004","2,846","4,970","3,263","2,651","2,322","2,769","2,626"
Crater Lake NP,"8,320","24,465","22,635","18,885","2,055","1,649","1,185","1,376","1,466","1,636","3,253","2,362",963,"1,390","1,643","2,372","2,945",996,"1,106","1,443","3,179","2,408","4,292","6,803","3,123","4,266","2,999","2,401","4,165","2,751","5,076","5,778","4,241","6,527","3,022","3,313"
Canyon de Chelly NM,"13,855","14,911","17,004","18,870","18,032","17,232","18,405","19,047","26,545","26,673","25,418","24,398","28,515","36,354","24,098","22,304","24,096","25,260","24,009","24,132","23,436","18,873","12,327","9,627","14,703","10,560","9,633","8,058","9,585","8,175","8,967","7,377","5,736","3,261",527,827
Yukon-Charley Rivers NPRES,0,0,0,"1,161","1,580","1,236","2,069","1,317","1,000",646,477,"1,232","1,793","1,858","2,362","2,219","2,139","4,269","5,310","14,264","14,934","15,444","15,492","15,002","14,625","12,174","24,170","24,722","23,197","17,514","15,562","7,102","5,519","5,173","21,437","10,471"
Theodore Roosevelt NP,"15,924","14,558","16,157","14,979","8,734","7,041","7,104","6,924","7,878","6,808","7,062","7,820","9,268","9,733","10,575","12,195","10,154","12,232","10,363","9,779","9,894","10,176","9,997","9,527","10,534","9,310","8,383","7,879","7,668","9,000","10,687","11,709","10,989","12,663","13,733","13,804"
White Sands NM,621,460,521,467,387,877,476,518,870,797,991,"1,117","1,184","1,696","2,120","2,426","2,760","2,334","2,826","1,639","2,056","1,795","2,155","1,894","2,049","1,745","1,662","1,048",950,"1,330","1,751","1,811","2,185","2,272","2,284","2,087"
Great Sand Dunes NP & PRES,"17,194","16,420","16,998","17,398","15,475","16,294","16,715","15,489","17,827","17,460","18,665","19,309","22,570","24,112","24,318","24,658","26,007","24,220","24,755","21,786","24,433","18,438","23,625","20,926","23,514","23,418","23,762","22,464","24,731","26,763","29,028","27,423","25,400","21,682","17,949","25,881"
Curecanti NRA,"10,570","12,092","12,556","10,596","11,880","12,724","18,024","15,564","16,084","11,944","12,144","12,920","15,196","9,396","13,089","13,680","12,740","13,372","15,592","17,684","18,512","19,972","12,844","8,244","8,832","7,528","10,720","11,408","15,844","13,884","15,924","13,384","12,380","14,028","11,140","12,544"
Allegheny Portage Railroad NHS,33,0,0,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navajo NM,"5,008","5,156","5,512","4,897","5,457","5,149","5,871","4,984","6,652","7,470","5,778","4,719","5,524","6,806","6,245","6,567","6,952","4,925","4,391","1,487","1,762","1,451","1,307",699,"1,256","1,261","1,545","1,401","1,517","1,331","1,525","1,630","1,388","1,270","1,164","1,319"
