name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cumberland Gap NHP,"452,889","485,666","425,046","632,023","718,375","719,816","729,685","788,593","776,593","760,840","887,570","897,802","951,728","962,396","975,997","954,010","1,020,369","1,051,683","1,372,951","1,317,835","1,434,425","1,520,386","887,488","915,347","987,782","929,583","1,006,447","936,929","994,985","843,893","883,663","918,746","828,947","853,998","768,363","879,934","840,601"
Crater Lake NP,"410,749","455,143","503,404","435,589","379,008","419,829","390,604","402,789","460,550","443,430","430,734","384,941","456,931","461,668","381,747","454,215","496,041","476,957","451,548","471,865","417,992","426,883","457,373","456,620","479,183","417,066","447,240","388,972","468,958","415,686","446,516","448,319","423,551","447,251","523,027","535,508","614,712"
Canyon de Chelly NM,"328,097","284,015","333,596","373,526","385,992","432,073","452,286","568,989","612,831","665,283","601,107","642,189","728,305","743,806","766,670","767,368","768,163","818,667","842,169","844,958","852,048","848,348","833,202","772,620","866,498","936,007","830,253","826,635","825,320","835,860","826,425","827,247","828,145","828,523","828,478","827,761","813,686"
Yukon-Charley Rivers NPRES,0,0,0,697,955,988,"2,073","1,707","1,789","1,255",916,"1,965","2,050","2,430","1,951",646,658,"1,005","1,856","4,451","4,072","3,677","6,571","5,144","5,552","4,260","12,784","12,083","11,567","4,942","6,432","6,211","1,718","1,393","3,914","2,329","1,133"
Theodore Roosevelt NP,"591,646","595,734","702,873","677,014","415,118","361,139","377,152","390,553","424,846","413,527","459,171","460,718","468,926","475,937","475,160","505,349","460,699","436,081","393,265","448,286","431,311","431,813","446,609","471,551","490,295","474,589","493,198","435,359","456,588","516,804","586,928","623,748","563,407","640,555","545,090","559,580","580,033"
White Sands NM,"580,814","511,476","556,494","543,581","492,902","542,930","486,754","666,879","567,613","556,185","568,530","582,487","588,543","590,371","611,252","583,061","604,796","616,699","629,507","592,957","553,948","515,229","518,958","498,964","492,008","448,185","450,447","440,927","437,042","438,511","471,167","470,921","428,924","447,385","490,544","503,660","497,506"
Great Sand Dunes NP & PRES,"162,546","142,427","172,505","175,273","150,177","141,833","182,713","221,449","225,937","274,286","266,321","272,136","295,070","290,654","294,282","312,225","323,663","309,283","309,855","279,768","286,745","260,789","277,523","234,776","251,375","267,204","279,589","258,660","285,121","273,903","289,955","283,284","280,058","254,674","242,841","271,774","299,513"
Curecanti NRA,"809,007","891,490","988,951","994,265","1,050,217","994,143","1,071,782","1,114,756","1,096,823","1,076,510","1,125,447","1,102,283","1,090,929","1,098,183","1,089,098","1,064,538","993,072","1,017,256","966,680","973,652","1,044,523","1,022,320","879,776","732,713","1,008,810","1,006,102","882,768","936,380","964,640","1,007,444","953,169","969,549","924,468","862,612","814,163","931,367","944,742"
Allegheny Portage Railroad NHS,"58,225","73,995","65,557","60,069","55,148","59,635","69,523","68,990","93,289","123,622","133,324","131,735","154,816","183,473","189,009","160,394","145,307","139,446","121,841","111,100","111,391","133,396","142,340","146,484","129,995","126,441","115,357","121,009","123,215","113,991","118,931","107,363","118,410","138,864","107,977","172,883","168,433"
Navajo NM,"41,341","39,886","39,574","38,927","46,792","38,916","46,702","46,554","62,441","78,861","83,615","76,808","81,488","106,195","97,594","105,234","108,474","100,323","100,466","90,666","78,603","66,133","57,904","60,282","76,620","65,246","54,688","71,595","69,445","74,143","77,901","90,696","87,388","58,219","54,168","65,778","71,370"
Petrified Forest NP,"671,583","683,121","747,832","710,619","708,512","714,761","736,659","761,257","758,082","857,031","824,141","844,592","874,521","930,031","936,429","922,927","935,065","829,495","823,266","816,506","666,978","605,192","583,904","571,586","586,245","580,000","598,378","581,681","563,590","543,714","631,613","664,725","614,054","664,857","644,648","836,799","793,225"
